QueryId,DocumentId,Relevance
201,clueweb12-1102wb-91-12621,0.881552059223598
201,clueweb12-1310wb-04-16486,0.8784570710381042
201,clueweb12-0401tw-01-03242,0.8511055175678715
201,clueweb12-1604wb-20-11054,0.7345942910686325
201,clueweb12-0713wb-62-15328,0.7270592948539264
201,clueweb12-0604wb-40-13236,0.6488733323077339
201,clueweb12-0900wb-35-34759,0.6102065047680608
201,clueweb12-1500tw-29-15704,0.5946189866082205
201,clueweb12-0401tw-00-11091,0.49474749631572823
201,clueweb12-0906wb-09-33744,0.3931031789756229
201,clueweb12-0902wb-72-11855,0.3356693165871078
201,clueweb12-0904wb-71-24469,0.2889949718456714
201,clueweb12-1500tw-89-03150,0.2872693102141414
201,clueweb12-0307wb-47-02869,0.27244554559644557
201,clueweb12-0906wb-96-33932,0.26507159573050393
201,clueweb12-1806wb-39-29403,0.26070439842890153
201,clueweb12-1600tw-02-18513,0.25107059182861513
201,clueweb12-0906wb-67-25261,0.24279693481545592
201,clueweb12-0301tw-21-03835,0.2374873029509809
201,clueweb12-0700tw-54-14874,0.23195833432227966
201,clueweb12-0910wb-29-12247,0.22680122490447957
201,clueweb12-0500tw-11-08405,0.2101493885369794
201,clueweb12-0714wb-00-13547,0.20843024401121127
201,clueweb12-0908wb-21-22923,0.2051400227641867
201,clueweb12-1200tw-80-10421,0.20371125714952346
201,clueweb12-0700tw-24-01437,0.19983672411122957
201,clueweb12-0300tw-61-16714,0.1936830174753394
201,clueweb12-0713wb-53-13641,0.1917409983282606
201,clueweb12-0807wb-93-08686,0.18732308820047971
201,clueweb12-0400tw-34-18992,0.1811900711761879
201,clueweb12-0800tw-37-07485,0.1782512382962266
201,clueweb12-0401tw-03-21671,0.17560187156703905
201,clueweb12-1712wb-90-15515,0.17119862847984868
201,clueweb12-1811wb-56-16219,0.17105245193048976
201,clueweb12-1211wb-15-11029,0.1670377403860968
201,clueweb12-0906wb-86-33232,0.1656854118634391
201,clueweb12-0800tw-24-10527,0.16247102227782312
201,clueweb12-0301tw-34-08947,0.16071011466294546
201,clueweb12-0908wb-88-00684,0.16039473748571037
201,clueweb12-1600tw-40-06466,0.15878239555126325
