QueryId,DocumentId,TF_title_sum,TF_content_sum,TF_anchors_sum,TF_title_mean,TF_content_mean,TF_anchors_mean,TF_title_max,TF_content_max,TF_anchors_max,TF_title_min,TF_content_min,TF_anchors_min,normalized_TF_title_sum,normalized_TF_content_sum,normalized_TF_anchors_sum,normalized_TF_title_mean,normalized_TF_content_mean,normalized_TF_anchors_mean,normalized_TF_title_max,normalized_TF_content_max,normalized_TF_anchors_max,normalized_TF_title_min,normalized_TF_content_min,normalized_TF_anchors_min
201,clueweb12-1700tw-22-12689,2,128,0,1,64,0,1,65,0,1,63,0,0.3333333333333333,0.130879345603272,0.0,0.16666666666666666,0.065439672801636,0.0,0.16666666666666666,0.06646216768916155,0.0,0.16666666666666666,0.06441717791411043,0.0
201,clueweb12-0915wb-34-01721,2,82,0,1,41,0,1,41,0,1,41,0,0.2222222222222222,0.11036339165545088,0.0,0.1111111111111111,0.05518169582772544,0.0,0.1111111111111111,0.05518169582772544,0.0,0.1111111111111111,0.05518169582772544,0.0
201,clueweb12-0713wb-35-13648,0,84,0,0,42,0,0,46,0,0,38,0,0.0,0.05069402534701267,0.0,0.0,0.025347012673506336,0.0,0.0,0.02776101388050694,0.0,0.0,0.022933011466505733,0.0
201,clueweb12-0900wb-98-24673,0,46,0,0,23,0,0,23,0,0,23,0,0.0,0.0942622950819672,0.0,0.0,0.0471311475409836,0.0,0.0,0.0471311475409836,0.0,0.0,0.0471311475409836,0.0
201,clueweb12-0909wb-96-26247,2,54,2,1,27,1,1,27,1,1,27,1,0.3333333333333333,0.06040268456375839,0.18181818181818182,0.16666666666666666,0.030201342281879196,0.09090909090909091,0.16666666666666666,0.030201342281879196,0.09090909090909091,0.16666666666666666,0.030201342281879196,0.09090909090909091
201,clueweb12-0401tw-04-20151,2,50,0,1,25,0,1,25,0,1,25,0,0.13333333333333333,0.03663003663003663,0.0,0.06666666666666667,0.018315018315018316,0.0,0.06666666666666667,0.018315018315018316,0.0,0.06666666666666667,0.018315018315018316,0.0
201,clueweb12-1102wb-91-12621,2,49,198,1,24,99,1,25,99,1,24,99,0.6666666666666666,0.04336283185840708,1.0,0.3333333333333333,0.021238938053097345,0.5,0.3333333333333333,0.022123893805309734,0.5,0.3333333333333333,0.021238938053097345,0.5
201,clueweb12-0400tw-34-18992,2,45,24,1,22,12,1,23,12,1,22,12,0.2857142857142857,0.046680497925311204,0.4,0.14285714285714285,0.022821576763485476,0.2,0.14285714285714285,0.023858921161825725,0.2,0.14285714285714285,0.022821576763485476,0.2
201,clueweb12-0901tw-08-02360,5,41,0,2,20,0,3,22,0,2,19,0,0.35714285714285715,0.054376657824933686,0.0,0.14285714285714285,0.026525198938992044,0.0,0.21428571428571427,0.029177718832891247,0.0,0.14285714285714285,0.025198938992042442,0.0
201,clueweb12-1500tw-87-15657,2,40,0,1,20,0,1,22,0,1,18,0,0.14285714285714285,0.0408997955010225,0.0,0.07142857142857142,0.02044989775051125,0.0,0.07142857142857142,0.022494887525562373,0.0,0.07142857142857142,0.018404907975460124,0.0
201,clueweb12-0401tw-16-02547,2,40,0,1,20,0,1,20,0,1,20,0,0.16666666666666666,0.04608294930875576,0.0,0.08333333333333333,0.02304147465437788,0.0,0.08333333333333333,0.02304147465437788,0.0,0.08333333333333333,0.02304147465437788,0.0
201,clueweb12-0900wb-35-34759,2,388,51,1,194,25,1,218,26,1,170,25,0.4,0.015823817292006524,0.2170212765957447,0.2,0.007911908646003262,0.10638297872340426,0.2,0.008890701468189233,0.11063829787234042,0.2,0.006933115823817292,0.10638297872340426
201,clueweb12-1200tw-80-10421,2,48,0,1,24,0,1,24,0,1,24,0,0.16666666666666666,0.02680067001675042,0.0,0.08333333333333333,0.01340033500837521,0.0,0.08333333333333333,0.01340033500837521,0.0,0.08333333333333333,0.01340033500837521,0.0
201,clueweb12-0915wb-07-09887,1,54,5,0,27,2,1,40,5,0,14,0,0.16666666666666666,0.0481283422459893,0.2,0.0,0.02406417112299465,0.08,0.16666666666666666,0.035650623885918005,0.2,0.0,0.012477718360071301,0.0
201,clueweb12-1804wb-47-11412,0,86,0,0,43,0,0,44,0,0,42,0,0.0,0.021966794380587483,0.0,0.0,0.010983397190293741,0.0,0.0,0.01123882503192848,0.0,0.0,0.010727969348659003,0.0
201,clueweb12-0713wb-53-13641,2,81,0,1,40,0,1,42,0,1,39,0,0.2857142857142857,0.02185055300782304,0.0,0.14285714285714285,0.010790396547073105,0.0,0.14285714285714285,0.01132991637442676,0.0,0.14285714285714285,0.010520636633396278,0.0
201,clueweb12-1602wb-44-05440,2,36,0,1,18,0,1,18,0,1,18,0,0.25,0.042105263157894736,0.0,0.125,0.021052631578947368,0.0,0.125,0.021052631578947368,0.0,0.125,0.021052631578947368,0.0
201,clueweb12-0401tw-00-11091,2,51,29,1,25,14,1,32,19,1,19,10,0.2857142857142857,0.033073929961089495,0.06561085972850679,0.14285714285714285,0.01621271076523995,0.03167420814479638,0.14285714285714285,0.020752269779507133,0.042986425339366516,0.14285714285714285,0.01232166018158236,0.02262443438914027
201,clueweb12-0800tw-17-25760,2,32,0,1,16,0,1,16,0,1,16,0,0.2,0.05128205128205128,0.0,0.1,0.02564102564102564,0.0,0.1,0.02564102564102564,0.0,0.1,0.02564102564102564,0.0
201,clueweb12-0800tw-24-12533,2,36,0,1,18,0,1,18,0,1,18,0,0.2857142857142857,0.044444444444444446,0.0,0.14285714285714285,0.022222222222222223,0.0,0.14285714285714285,0.022222222222222223,0.0,0.14285714285714285,0.022222222222222223,0.0
201,clueweb12-0800tw-05-18710,1,54,2,0,27,1,1,40,2,0,14,0,0.16666666666666666,0.04100227790432802,0.2,0.0,0.02050113895216401,0.1,0.16666666666666666,0.030372057706909643,0.2,0.0,0.010630220197418374,0.0
