QueryId,DocumentId,pagerank_score
201,clueweb12-1700tw-22-12689,1.7070083020644906e-08
201,clueweb12-0915wb-34-01721,1.7070083020644906e-08
201,clueweb12-0713wb-35-13648,3.0974224703082214e-08
201,clueweb12-0900wb-98-24673,1.7070083020644906e-08
201,clueweb12-0909wb-96-26247,1.7955593857585907e-08
201,clueweb12-0401tw-04-20151,1.7070083020644906e-08
201,clueweb12-1102wb-91-12621,2.149303644449024e-08
201,clueweb12-0400tw-34-18992,1.7070083020644906e-08
201,clueweb12-0901tw-08-02360,1.7070083020644906e-08
201,clueweb12-1500tw-87-15657,1.7070083020644906e-08
201,clueweb12-0401tw-16-02547,1.7070083020644906e-08
201,clueweb12-0900wb-35-34759,2.3779893334633158e-08
201,clueweb12-1200tw-80-10421,1.7070083020644906e-08
201,clueweb12-0915wb-07-09887,1.7070083020644906e-08
201,clueweb12-1804wb-47-11412,3.272145725029431e-08
201,clueweb12-0713wb-53-13641,1.7070083020644906e-08
201,clueweb12-1602wb-44-05440,1.7582185629965168e-08
201,clueweb12-0401tw-00-11091,1.7070083020644906e-08
201,clueweb12-0800tw-17-25760,1.7070083020644906e-08
201,clueweb12-0800tw-24-12533,1.7070083020644906e-08
201,clueweb12-0800tw-05-18710,1.7070083020644906e-08
201,clueweb12-1007wb-48-27054,1.7070083020644906e-08
201,clueweb12-1205wb-61-24105,1.7070083020644906e-08
201,clueweb12-1200tw-74-09560,1.963059606724624e-08
201,clueweb12-0900tw-69-06553,1.7070083020644906e-08
201,clueweb12-0906wb-96-33932,1.7070083020644906e-08
201,clueweb12-0401tw-11-13679,1.963059606724624e-08
201,clueweb12-1310wb-04-16486,1.7950513255727542e-08
201,clueweb12-0400tw-98-19394,1.7070083020644906e-08
201,clueweb12-1712wb-94-32026,1.7070083020644906e-08
201,clueweb12-0810wb-64-06846,1.8226256364472126e-08
201,clueweb12-1103wb-53-15541,1.7070083020644906e-08
201,clueweb12-1103wb-89-23937,1.7070083020644906e-08
201,clueweb12-0800tw-37-07485,1.9277814609675412e-08
201,clueweb12-0904wb-71-24469,1.7070083020644906e-08
201,clueweb12-1700tw-03-09403,1.7070083020644906e-08
201,clueweb12-0400tw-96-22358,1.7070083020644906e-08
201,clueweb12-0401tw-03-21671,1.963059606724624e-08
201,clueweb12-1200tw-74-13246,1.7070083020644906e-08
201,clueweb12-0500tw-22-06416,1.7070083020644906e-08
201,clueweb12-0604wb-40-13236,1.95772743557769e-08
201,clueweb12-0700tw-54-14874,1.7070083020644906e-08
201,clueweb12-0816wb-83-13972,1.7070083020644906e-08
201,clueweb12-0700tw-24-01437,1.7070083020644906e-08
201,clueweb12-1806wb-39-29403,1.7070083020644906e-08
201,clueweb12-0916wb-00-04079,3.391091639718421e-08
201,clueweb12-0600tw-42-14363,1.7070083020644906e-08
201,clueweb12-1211wb-15-11029,1.7070083020644906e-08
201,clueweb12-0717wb-19-00907,1.7070083020644906e-08
201,clueweb12-0908wb-21-22923,2.1441269207185483e-08
201,clueweb12-1103wb-34-18912,3.6870969295253073e-08
201,clueweb12-0713wb-62-15328,1.7070083020644906e-08
201,clueweb12-0807wb-93-08686,2.3123560808878597e-08
201,clueweb12-1500tw-29-15704,1.7443708922340744e-08
201,clueweb12-1712wb-90-15515,1.908533995739742e-08
201,clueweb12-1700tw-09-00623,1.7070083020644906e-08
201,clueweb12-1305wb-59-01481,1.7070083020644906e-08
201,clueweb12-1410wb-38-06953,1.7070083020644906e-08
201,clueweb12-0006wb-96-02778,1.7070083020644906e-08
201,clueweb12-1600tw-02-18513,1.7902249760790346e-08
201,clueweb12-0301tw-34-08947,1.7070083020644906e-08
201,clueweb12-0207wb-00-11831,4.865874984134234e-08
201,clueweb12-0209wb-62-29860,3.615944921246175e-08
201,clueweb12-1110wb-37-14389,1.7070083020644906e-08
201,clueweb12-0300tw-61-16714,1.7070083020644906e-08
201,clueweb12-0700tw-16-15536,1.7582185629965168e-08
201,clueweb12-0500tw-11-08405,1.835033954394557e-08
